#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery
#Serial Number: SN:210244631383
#Date Time: 2018-02-26 11:21:14.680
#Trigger:Source: Channel 1Type: EdgeCondition: RisingLevel: 0 VHyst.: AutoHoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: -1 V

Time (s),Channel 1 (V)
-18.344999999999999,0.45986286323331627
-18.337499999999999,0.45919396419973002
-18.329999999999998,0.45919396419973002
-18.322499999999998,0.45885951468293684
-18.314999999999998,0.45986286323331627
-18.307499999999997,0.45986286323331627
-18.299999999999997,0.45852506516614377
-18.2925,0.45919396419972974
-18.285,0.45819061564935071
-18.2775,0.45885951468293684
-18.27,0.45785616613255753
-18.262499999999999,0.45852506516614377
-18.254999999999999,0.45685281758217822
-18.247499999999999,0.45852506516614377
-18.239999999999998,0.45819061564935071
-18.232499999999998,0.45852506516614377
-18.224999999999998,0.45885951468293684
-18.217499999999998,0.45852506516614377
-18.209999999999997,0.45919396419973002
-18.202499999999997,0.45819061564935071
-18.195,0.45952841371652309
-18.1875,0.45885951468293684
-18.18,0.45852506516614377
-18.172499999999999,0.45885951468293684
-18.164999999999999,0.45919396419973002
-18.157499999999999,0.45919396419973002
-18.149999999999999,0.45885951468293684
-18.142499999999998,0.45919396419973002
-18.134999999999998,0.45852506516614377
-18.127499999999998,0.45952841371652309
-18.119999999999997,0.45852506516614377
-18.112499999999997,0.45986286323331627
-18.105,0.45885951468293729
-18.0975,0.45885951468293684
-18.09,0.45885951468293684
-18.0825,0.45952841371652309
-18.074999999999999,0.45952841371652309
-18.067499999999999,0.45919396419973002
-18.059999999999999,0.45986286323331627
-18.052499999999998,0.45885951468293684
-18.044999999999998,0.45919396419973002
-18.037499999999998,0.45919396419973002
-18.029999999999998,0.46019731275010933
-18.022499999999997,0.45919396419973002
-18.014999999999997,0.45952841371652309
-18.0075,0.4605317622669024
-18,0.45952841371652309
-17.9925,0.4605317622669024
-17.984999999999999,0.45986286323331627
-17.977499999999999,0.46153511081728171
-17.969999999999999,0.4605317622669024
-17.962499999999999,0.46153511081728171
-17.954999999999998,0.46086621178369558
-17.947499999999998,0.46120066130048865
-17.939999999999998,0.4605317622669024
-17.932499999999997,0.4605317622669024
-17.924999999999997,0.46086621178369558
-17.9175,0.4605317622669024
-17.91,0.46253845936766114
-17.9025,0.46186956033407489
-17.895,0.46253845936766114
-17.887499999999999,0.46153511081728171
-17.879999999999999,0.4628729088844542
-17.872499999999999,0.46320735840124727
-17.864999999999998,0.46354180791804045
-17.857499999999998,0.46421070695162669
-17.849999999999998,0.46421070695162669
-17.842499999999998,0.46521405550200601
-17.834999999999997,0.46655185356917839
-17.827499999999997,0.46554850501879985
-17.82,0.46722075260276463
-17.8125,0.46722075260276463
-17.805,0.46722075260276463
-17.797499999999999,0.46922744970352326
-17.789999999999999,0.4698963487371095
-17.782499999999999,0.47457864197221311
-17.774999999999999,0.47390974293862687
-17.767499999999998,0.78494779355621958
-17.759999999999998,0.96220603745656808
-17.752499999999998,0.96120268890618876
-17.744999999999997,0.95986489083901627
-17.737499999999997,0.95886154228863696
-17.73,0.95785819373825765
-17.7225,0.95685484518787833
-17.715,0.95518259760391278
-17.7075,0.95351035001994722
-17.699999999999999,0.95183810243598166
-17.692499999999999,0.95050030436880917
-17.684999999999999,0.94849360726805054
-17.677499999999998,0.94715580920087805
-17.669999999999998,0.94347686451615387
-17.662499999999998,0.94113571789860218
-17.654999999999998,0.93979791983142968
-17.647499999999997,0.93578452562991232
-17.639999999999997,0.70568325807614007
-17.6325,0.45852506516614377
-17.625,0.45952841371652309
-17.6175,0.45852506516614377
-17.609999999999999,0.45919396419973002
-17.602499999999999,0.45885951468293684
-17.594999999999999,0.45952841371652309
-17.587499999999999,0.45919396419973002
-17.579999999999998,0.45952841371652309
-17.572499999999998,0.45919396419973002
-17.564999999999998,0.45885951468293684
-17.557499999999997,0.45885951468293684
-17.549999999999997,0.45752171661576446
-17.5425,0.45885951468293684
-17.535,0.45819061564935071
-17.5275,0.45885951468293684
-17.52,0.45819061564935071
-17.512499999999999,0.45919396419973002
-17.504999999999999,0.45718726709897128
-17.497499999999999,0.45819061564935071
-17.489999999999998,0.45819061564935071
-17.482499999999998,0.45852506516614377
-17.474999999999998,0.45885951468293684
-17.467499999999998,0.45852506516614377
-17.459999999999997,0.45986286323331627
-17.452499999999997,0.45785616613255781
-17.445,0.45852506516614377
-17.4375,0.45718726709897128
-17.43,0.45885951468293684
-17.422499999999999,0.45819061564935071
-17.414999999999999,0.45885951468293684
-17.407499999999999,0.45885951468293684
-17.399999999999999,0.45885951468293684
-17.392499999999998,0.45885951468293684
-17.384999999999998,0.45852506516614377
-17.377499999999998,0.45919396419973002
-17.369999999999997,0.45785616613255753
-17.362499999999997,0.45819061564935071
-17.355,0.45752171661576446
-17.3475,0.45852506516614377
-17.34,0.45852506516614377
-17.3325,0.45919396419973002
-17.324999999999999,0.45885951468293684
-17.317499999999999,0.45819061564935071
-17.309999999999999,0.46019731275010933
-17.302499999999998,0.45919396419973002
-17.294999999999998,0.46019731275010933
-17.287499999999998,0.45919396419973002
-17.279999999999998,0.45919396419973002
-17.272499999999997,0.45952841371652309
-17.264999999999997,0.46019731275010933
-17.2575,0.46019731275010933
-17.25,0.4605317622669024
-17.2425,0.46086621178369558
-17.234999999999999,0.4605317622669024
-17.227499999999999,0.46186956033407489
-17.219999999999999,0.46019731275010933
-17.212499999999999,0.46120066130048865
-17.204999999999998,0.46120066130048865
-17.197499999999998,0.46186956033407489
-17.189999999999998,0.46253845936766114
-17.182499999999997,0.4628729088844542
-17.174999999999997,0.46220400985086796
-17.1675,0.46454515646841976
-17.16,0.46454515646841976
-17.1525,0.46588295453559225
-17.145,0.46454515646841976
-17.137499999999999,0.46655185356917839
-17.129999999999999,0.46722075260276463
-17.122499999999999,0.47056524777069575
-17.114999999999998,0.46922744970352326
-17.107499999999998,0.46889300018673019
-17.099999999999998,0.47190304583786824
-17.092499999999998,0.47190304583786824
-17.084999999999997,0.47491309148900618
-17.077499999999997,0.47625088955636941
-17.07,0.89565058361473915
-17.0625,0.96187158793977501
-17.055,0.96120268890618876
-17.047499999999999,0.95986489083901627
-17.039999999999999,0.95852709277184389
-17.032499999999999,0.95752374422146458
-17.024999999999999,0.95618594615429209
-17.017499999999998,0.95518259760391278
-17.009999999999998,0.95351035001994722
-17.002499999999998,0.95284145098636097
-16.994999999999997,0.95050030436880917
-16.987499999999997,0.94949695581842986
-16.98,0.94648691016729192
-16.9725,0.94414576354974011
-16.965,0.940801268381809
-16.9575,0.93879457128105037
-16.949999999999999,0.93578452562991232
-16.942499999999999,0.93210558094518814
-16.934999999999999,0.49130111781186858
-16.927499999999998,0.45885951468293684
-16.919999999999998,0.45819061564935071
-16.912499999999998,0.45885951468293684
-16.904999999999998,0.45785616613255753
-16.897499999999997,0.45785616613255753
-16.890000000000001,0.4588595146829364
-16.8825,0.45819061564935071
-16.875,0.45852506516614377
-16.8675,0.45785616613255753
-16.859999999999999,0.45852506516614377
-16.852499999999999,0.45752171661576446
-16.844999999999999,0.45819061564935071
-16.837499999999999,0.45752171661576446
-16.829999999999998,0.45852506516614377
-16.822499999999998,0.45852506516614377
-16.814999999999998,0.45852506516614377
-16.807499999999997,0.45852506516614377
-16.799999999999997,0.45852506516614377
-16.7925,0.45852506516614377
-16.785,0.45752171661576446
-16.7775,0.45852506516614377
-16.77,0.45752171661576446
-16.762499999999999,0.45919396419973002
-16.754999999999999,0.45785616613255753
-16.747499999999999,0.45852506516614377
-16.739999999999998,0.45785616613255753
-16.732499999999998,0.45852506516614377
-16.724999999999998,0.45785616613255753
-16.717499999999998,0.45785616613255753
-16.709999999999997,0.45819061564935071
-16.702500000000001,0.4578561661325577
-16.695,0.45952841371652309
-16.6875,0.45852506516614377
-16.68,0.45919396419973002
-16.672499999999999,0.45852506516614377
-16.664999999999999,0.45852506516614377
-16.657499999999999,0.45852506516614377
-16.649999999999999,0.45852506516614377
-16.642499999999998,0.45919396419973002
-16.634999999999998,0.45852506516614377
-16.627499999999998,0.45919396419973002
