Model,DPO3012
Firmware Version,2.16

Point Format,Y,,,Point Format,Y
Horizontal Units,S,,,Horizontal Units,S
Horizontal Scale,0.0002,,,Horizontal Scale,0.01
Sample Interval,2e-07,,,Sample Interval,1e-05
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,0.5,0.5,,Vertical Scale,0.5
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
-9.622e-04,0.47,1.16,,-4.8110e-02,0.7
-9.620e-04,0.43,1.1,,-4.8100e-02,0.68
-9.618e-04,0.45,1.1,,-4.8090e-02,0.68
-9.616e-04,0.47,1.1,,-4.8080e-02,0.68
-9.614e-04,0.47,1.1,,-4.8070e-02,0.7
-9.612e-04,0.49,1.14,,-4.8060e-02,0.66
-9.610e-04,0.49,1.16,,-4.8050e-02,0.68
-9.608e-04,0.49,1.1,,-4.8040e-02,0.66
-9.606e-04,0.51,1.08,,-4.8030e-02,0.7
-9.604e-04,0.51,1.1,,-4.8020e-02,0.7
-9.602e-04,0.45,1.1,,-4.8010e-02,0.66
-9.600e-04,0.47,1.08,,-4.8000e-02,0.7
-9.598e-04,0.49,1.1,,-4.7990e-02,0.68
-9.596e-04,0.47,1.1,,-4.7980e-02,0.66
-9.594e-04,0.49,1.1,,-4.7970e-02,0.66
-9.592e-04,0.47,1.12,,-4.7960e-02,0.68
-9.590e-04,0.49,1.1,,-4.7950e-02,0.68
-9.588e-04,0.51,1.08,,-4.7940e-02,0.7
-9.586e-04,0.51,1.08,,-4.7930e-02,0.66
-9.584e-04,0.47,1.1,,-4.7920e-02,0.68
-9.582e-04,0.49,1.04,,-4.7910e-02,0.66
-9.580e-04,0.49,1.06,,-4.7900e-02,0.68
-9.578e-04,0.47,1.06,,-4.7890e-02,0.7
-9.576e-04,0.45,1.08,,-4.7880e-02,0.68
-9.574e-04,0.45,1.04,,-4.7870e-02,0.66
-9.572e-04,0.49,1.06,,-4.7860e-02,0.68
-9.570e-04,0.49,1.08,,-4.7850e-02,0.7
-9.568e-04,0.51,1.08,,-4.7840e-02,0.66
-9.566e-04,0.49,1.06,,-4.7830e-02,0.68
-9.564e-04,0.51,1.06,,-4.7820e-02,0.68
-9.562e-04,0.47,1.06,,-4.7810e-02,0.7
-9.560e-04,0.47,1.04,,-4.7800e-02,0.7
-9.558e-04,0.45,1.08,,-4.7790e-02,0.68
-9.556e-04,0.49,1.06,,-4.7780e-02,0.72
-9.554e-04,0.47,1.06,,-4.7770e-02,0.7
-9.552e-04,0.49,1.04,,-4.7760e-02,0.7
-9.550e-04,0.51,1.08,,-4.7750e-02,0.7
-9.548e-04,0.49,1.02,,-4.7740e-02,0.68
-9.546e-04,0.47,1.02,,-4.7730e-02,0.7
-9.544e-04,0.53,1.04,,-4.7720e-02,0.68
-9.542e-04,0.47,1.06,,-4.7710e-02,0.66
-9.540e-04,0.49,1,,-4.7700e-02,0.66
-9.538e-04,0.47,1.02,,-4.7690e-02,0.68
-9.536e-04,0.49,1,,-4.7680e-02,0.66
-9.534e-04,0.45,1.02,,-4.7670e-02,0.7
-9.532e-04,0.47,1,,-4.7660e-02,0.68
-9.530e-04,0.49,1.02,,-4.7650e-02,0.66
-9.528e-04,0.49,1.02,,-4.7640e-02,0.68
-9.526e-04,0.53,0.98,,-4.7630e-02,0.72
-9.524e-04,0.51,1.02,,-4.7620e-02,0.68
-9.522e-04,0.51,1.02,,-4.7610e-02,0.72
-9.520e-04,0.51,1.02,,-4.7600e-02,0.68
-9.518e-04,0.47,1,,-4.7590e-02,0.66
-9.516e-04,0.49,1,,-4.7580e-02,0.64
-9.514e-04,0.51,1,,-4.7570e-02,0.68
-9.512e-04,0.47,1,,-4.7560e-02,0.68
-9.510e-04,0.49,1.02,,-4.7550e-02,0.7
-9.508e-04,0.49,1,,-4.7540e-02,0.66
-9.506e-04,0.51,1.02,,-4.7530e-02,0.7
-9.504e-04,0.47,0.98,,-4.7520e-02,0.68
-9.502e-04,0.47,1,,-4.7510e-02,0.7
-9.500e-04,0.47,0.98,,-4.7500e-02,0.7
-9.498e-04,0.49,1,,-4.7490e-02,0.66
-9.496e-04,0.49,0.98,,-4.7480e-02,0.66
-9.494e-04,0.47,0.94,,-4.7470e-02,0.66
-9.492e-04,0.49,0.94,,-4.7460e-02,0.66
-9.490e-04,0.49,0.98,,-4.7450e-02,0.7
-9.488e-04,0.49,1,,-4.7440e-02,0.64
-9.486e-04,0.49,0.96,,-4.7430e-02,0.68
-9.484e-04,0.47,0.98,,-4.7420e-02,0.7
-9.482e-04,0.47,0.98,,-4.7410e-02,0.66
-9.480e-04,0.49,0.96,,-4.7400e-02,0.68
-9.478e-04,0.49,0.96,,-4.7390e-02,0.66
-9.476e-04,0.47,0.96,,-4.7380e-02,0.64
-9.474e-04,0.49,0.96,,-4.7370e-02,0.68
-9.472e-04,0.51,0.96,,-4.7360e-02,0.68
-9.470e-04,0.47,1,,-4.7350e-02,0.66
-9.468e-04,0.49,0.98,,-4.7340e-02,0.7
-9.466e-04,0.49,0.98,,-4.7330e-02,0.64
-9.464e-04,0.49,0.94,,-4.7320e-02,0.7
-9.462e-04,0.47,0.96,,-4.7310e-02,0.66
-9.460e-04,0.49,0.96,,-4.7300e-02,0.66
-9.458e-04,0.47,0.96,,-4.7290e-02,0.64
-9.456e-04,0.49,0.96,,-4.7280e-02,0.7
-9.454e-04,0.49,0.96,,-4.7270e-02,0.66
-9.452e-04,0.45,0.94,,-4.7260e-02,0.68
-9.450e-04,0.47,0.9,,-4.7250e-02,0.68
-9.448e-04,0.49,0.94,,-4.7240e-02,0.68
-9.446e-04,0.47,0.98,,-4.7230e-02,0.68
-9.444e-04,0.47,0.88,,-4.7220e-02,0.68
-9.442e-04,0.47,0.92,,-4.7210e-02,0.66
-9.440e-04,0.49,0.88,,-4.7200e-02,0.66
-9.438e-04,0.49,0.92,,-4.7190e-02,0.68
-9.436e-04,0.45,0.9,,-4.7180e-02,0.7
-9.434e-04,0.47,0.9,,-4.7170e-02,0.7
-9.432e-04,0.49,0.94,,-4.7160e-02,0.7
-9.430e-04,0.49,0.88,,-4.7150e-02,0.68
-9.428e-04,0.47,0.88,,-4.7140e-02,0.68
