Model,DPO3012
Firmware Version,2.16

Point Format,Y,,,Point Format,Y
Horizontal Units,S,,,Horizontal Units,S
Horizontal Scale,0.0004,,,Horizontal Scale,0.01
Sample Interval,4e-07,,,Sample Interval,1e-05
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,1,1,,Vertical Scale,0.5
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
-1.9468e-03,1.4,1.36,,-4.8670e-02,0.68
-1.9464e-03,1.4,1.2,,-4.8660e-02,0.7
-1.9460e-03,1.36,1.24,,-4.8650e-02,0.68
-1.9456e-03,1.44,1.16,,-4.8640e-02,0.7
-1.9452e-03,1.48,1.28,,-4.8630e-02,0.7
-1.9448e-03,1.52,1.24,,-4.8620e-02,0.66
-1.9444e-03,1.36,1.24,,-4.8610e-02,0.72
-1.9440e-03,1.44,1.28,,-4.8600e-02,0.68
-1.9436e-03,1.4,1.32,,-4.8590e-02,0.68
-1.9432e-03,1.44,1.28,,-4.8580e-02,0.66
-1.9428e-03,1.36,1.24,,-4.8570e-02,0.68
-1.9424e-03,1.48,1.24,,-4.8560e-02,0.68
-1.9420e-03,1.48,1.28,,-4.8550e-02,0.68
-1.9416e-03,1.36,1.24,,-4.8540e-02,0.7
-1.9412e-03,1.48,1.28,,-4.8530e-02,0.7
-1.9408e-03,1.48,1.28,,-4.8520e-02,0.68
-1.9404e-03,1.44,1.28,,-4.8510e-02,0.66
-1.9400e-03,1.44,1.28,,-4.8500e-02,0.72
-1.9396e-03,1.4,1.28,,-4.8490e-02,0.7
-1.9392e-03,1.4,1.28,,-4.8480e-02,0.66
-1.9388e-03,1.4,1.32,,-4.8470e-02,0.68
-1.9384e-03,1.4,1.28,,-4.8460e-02,0.68
-1.9380e-03,1.4,1.32,,-4.8450e-02,0.7
-1.9376e-03,1.36,1.16,,-4.8440e-02,0.66
-1.9372e-03,1.36,1.28,,-4.8430e-02,0.66
-1.9368e-03,1.44,1.28,,-4.8420e-02,0.7
-1.9364e-03,1.36,1.28,,-4.8410e-02,0.7
-1.9360e-03,1.4,1.36,,-4.8400e-02,0.66
-1.9356e-03,1.4,1.36,,-4.8390e-02,0.68
-1.9352e-03,1.36,1.32,,-4.8380e-02,0.66
-1.9348e-03,1.4,1.32,,-4.8370e-02,0.68
-1.9344e-03,1.48,1.32,,-4.8360e-02,0.66
-1.9340e-03,1.48,1.4,,-4.8350e-02,0.68
-1.9336e-03,1.36,1.24,,-4.8340e-02,0.7
-1.9332e-03,1.44,1.28,,-4.8330e-02,0.68
-1.9328e-03,1.36,1.2,,-4.8320e-02,0.7
-1.9324e-03,1.44,1.24,,-4.8310e-02,0.7
-1.9320e-03,1.44,1.24,,-4.8300e-02,0.7
-1.9316e-03,1.4,1.28,,-4.8290e-02,0.68
-1.9312e-03,1.44,1.32,,-4.8280e-02,0.7
-1.9308e-03,1.44,1.24,,-4.8270e-02,0.7
-1.9304e-03,1.4,1.28,,-4.8260e-02,0.68
-1.9300e-03,1.48,1.28,,-4.8250e-02,0.72
-1.9296e-03,1.4,1.36,,-4.8240e-02,0.64
-1.9292e-03,1.36,1.28,,-4.8230e-02,0.64
-1.9288e-03,1.44,1.28,,-4.8220e-02,0.68
-1.9284e-03,1.36,1.28,,-4.8210e-02,0.64
-1.9280e-03,1.4,1.24,,-4.8200e-02,0.7
-1.9276e-03,1.44,1.24,,-4.8190e-02,0.68
-1.9272e-03,1.44,1.24,,-4.8180e-02,0.68
-1.9268e-03,1.32,1.28,,-4.8170e-02,0.66
-1.9264e-03,1.4,1.28,,-4.8160e-02,0.68
-1.9260e-03,1.32,1.28,,-4.8150e-02,0.7
-1.9256e-03,1.44,1.36,,-4.8140e-02,0.68
